"Organism","Limb_width","Limb_length","Observer","Volume"
"Alois gorus",6.78555679521788,29.5297465806731,"Lee N",1067.87539767524
"Felis bingus",7.9131268101624,37.1802388344547,"Sam B",1828.51407445928
"Felis bingus",6.34219902909154,21.411903888486,"Lee N",676.433177016746
"Alois gorus",6.51806368446856,31.982070555666,"Lee N",1067.1701210071
"Babius busteria",11.2825468677826,35.4413373333615,"Mike R",3543.35181433294
"Felis lilacus",7.39208502709902,23.9199629376661,"Mike R",1026.55988943741
"Babius busteria",9.52794880454404,30.4577781771266,"Lee N",2171.63549064224
"Alois gorus",8.02971853135331,37.6452294436812,"Lee N",1906.34049756653
"Felis bingus",9.04786480287294,31.3061196346144,"Mike R",2012.84960631618
"Alois gorus",4.56295100735554,28.2203010951437,"Mike R",461.469641969074
"Babius busteria",4.27061384439139,30.8008335634427,"Mike R",441.197414339919
"Alois gorus",4.00097219208921,28.2256957158515,"Lee N",354.866989785518
"Polka dotdeadius",5.94096816435974,29.8900336096319,"Mike R",828.572919538587
"Felis bingus",8.37189497410399,42.2242108683402,"Sam B",2324.33630656839
"Felis lilacus",9.21899773770594,28.9362441015885,"Sam B",1931.52110367292
"Felis lilacus",9.96901217210863,17.5485110899057,"Lee N",1369.72823554868
"Polka dotdeadius",7.85740575973347,34.0964722801754,"Mike R",1653.32293772925
"Babius busteria",8.90048641161292,28.9493673757358,"Mike R",1801.1772046
"Babius busteria",9.62379064359811,29.4119162110651,"Lee N",2139.46671846195
"Polka dotdeadius",5.26036154957478,18.1047735740669,"Sam B",393.472304021637
"Polka dotdeadius",6.93288389768101,26.6557410259941,"Mike R",1006.25603097652
"Polka dotdeadius",10.6748957217456,19.9443237677748,"Sam B",1784.99284515105
"Felis lilacus",8.38777753826487,26.2977136882213,"Sam B",1453.120672415
"Polka dotdeadius",7.6280790146508,27.5191976256271,"Lee N",1257.6390516286
"Alois gorus",9.44469917382768,30.1455849071716,"Sam B",2111.98026356651
"Babius busteria",11.8461296842055,23.7223856821628,"Mike R",2614.57563231213
"Felis lilacus",8.74967278414912,35.563464900516,"Sam B",2138.34399838317
"Felis bingus",8.13232594806018,36.5117915926711,"Sam B",1896.49883096052
"Felis lilacus",3.70862982347281,20.9339391012189,"Sam B",226.135013156173
"Alois gorus",8.97232594839644,32.6855944601154,"Sam B",2066.59966195244
"Felis lilacus",9.44722415395623,38.5185457464268,"Sam B",2700.02759903658
"Polka dotdeadius",7.21822764638142,29.6889768939071,"Lee N",1214.9160298493
"Polka dotdeadius",7.38647455076695,27.933169238826,"Lee N",1196.97341764752
"Felis bingus",5.90838135658856,33.1282967725177,"Sam B",908.293126308228
"Felis lilacus",3.3431778327759,22.4593336097706,"Sam B",197.154050757112
"Felis bingus",6.15367489641303,27.956173988174,"Sam B",831.451101188831
"Alois gorus",7.70596698007317,33.3816580629059,"Mike R",1556.8690068556
"Felis lilacus",9.31015739728622,34.5499387381806,"Lee N",2352.07523604154
"Polka dotdeadius",5.71909642036359,25.6679951618588,"Sam B",659.381361914804
"Babius busteria",12.3807298657585,25.4639700789264,"Sam B",3065.5506239951
"Felis bingus",8.56240167514449,25.1697734885378,"Sam B",1449.30697839556
"Felis bingus",9.91561793380247,33.508660378404,"Lee N",2587.53668492471
"Felis bingus",6.6284801179507,35.4534047597887,"Lee N",1223.42047968267
"Alois gorus",9.97144932846293,32.0830302405059,"Sam B",2505.42747298686
"Polka dotdeadius",8.82668578588318,37.168483871061,"Sam B",2274.36446452156
"Babius busteria",9.64333262956794,14.9345336034241,"Mike R",1090.77666933687
"Babius busteria",9.95004339439204,33.9557679746415,"Mike R",2640.30068444175
"Polka dotdeadius",9.30874111419608,31.0536398200377,"Lee N",2113.41262478101
"Felis bingus",9.13198663050944,34.5536197646543,"Lee N",2263.15326002405
"Polka dotdeadius",10.4988759610637,20.9189211700801,"Sam B",1810.98467106701
"Felis bingus",5.94050937499875,36.9156741009798,"Lee N",1023.17060780999
"Babius busteria",4.82033198751013,26.4268491519345,"Mike R",482.268800956931
"Babius busteria",7.85773558802062,23.9408247881603,"Lee N",1160.97752150035
"Alois gorus",6.43176281404384,31.0221071970388,"Lee N",1007.90875226201
"Babius busteria",8.78881919169786,20.6758885070507,"Sam B",1254.33957021297
"Alois gorus",6.45152366748217,32.6785213418116,"Mike R",1068.25975685131
"Babius busteria",6.32645204341701,37.7256800293474,"Lee N",1185.89817004594
"Felis bingus",12.0889015602195,23.5208361693024,"Mike R",2699.70506023035
"Alois gorus",10.7027060939519,29.6605186847161,"Sam B",2668.43004388224
"Alois gorus",8.26502147046776,27.3462214410154,"Sam B",1467.1522359114
"Alois gorus",8.5609325597613,23.8017148095137,"Lee N",1370.06218714057
"Felis bingus",3.74626060001599,32.5139785900286,"Sam B",358.390068603435
"Alois gorus",5.38751698727976,40.7805393382926,"Sam B",929.651451327705
"Felis bingus",10.6414365878917,35.8726817202434,"Sam B",3190.46693794891
"Felis lilacus",7.38915039283637,18.1666775621186,"Mike R",779.030392523281
"Felis bingus",6.13329000832291,29.5191055856927,"Mike R",872.127692497089
"Alois gorus",6.93455315870572,29.4434186105949,"Sam B",1112.02635043525
"Alois gorus",10.5185798755055,25.2915485024339,"Mike R",2197.75623147846
"Polka dotdeadius",8.36266322457272,29.160837069681,"Sam B",1601.6922817014
"Alois gorus",8.56079749103595,37.4936383296092,"Lee N",2158.12161592464
"Alois gorus",8.12168856510672,30.0044622192611,"Sam B",1554.42006083459
"Babius busteria",6.39922004638097,33.6963453964418,"Sam B",1083.74416215291
"Felis lilacus",7.37708309732895,30.7519954742654,"Sam B",1314.41508422291
"Alois gorus",8.0676442138331,41.7307119663085,"Sam B",2133.23720992439
"Felis bingus",5.71932978612309,26.2135367788504,"Mike R",673.450656956733
"Polka dotdeadius",6.83586610153546,24.2052407413592,"Mike R",888.354655091483
"Alois gorus",9.53032495074454,27.396634116083,"Lee N",1954.35074515665
"Polka dotdeadius",8.31550131674814,33.8720146005459,"Sam B",1839.53384450123
"Polka dotdeadius",8.45027117151068,23.2984590773774,"Sam B",1306.64728802131
"Felis lilacus",3.99653426739084,33.1729045356696,"Lee N",416.140957823295
"Felis lilacus",11.2423442506006,24.3662662910267,"Mike R",2418.75915861213
"Babius busteria",9.64748617425137,22.4442857384932,"Mike R",1640.68043865097
"Babius busteria",9.01259935114349,28.6331875946957,"Lee N",1826.66837725209
"Babius busteria",7.32040288592165,21.8333844817403,"Lee N",918.926786239098
"Alois gorus",9.74750709862809,39.9682770337878,"Sam B",2982.58224750066
"Felis lilacus",10.6052051289471,42.1795948722739,"Lee N",3725.89345589634
"Felis bingus",8.74894745994563,30.3035493489682,"Lee N",1821.77608718826
"Polka dotdeadius",5.75727366692802,29.8497095559471,"Lee N",777.076434077304
"Polka dotdeadius",4.91761964858915,28.1631924839985,"Sam B",534.911131305293
"Felis bingus",5.15350808938302,38.4370431078673,"Sam B",801.762567841726
"Babius busteria",7.74776696844299,33.1706674501225,"Lee N",1563.85755106202
"Alois gorus",6.1241787001217,40.5323606212125,"Mike R",1193.95370814292
"Babius busteria",5.87597667160572,29.6099109196434,"Lee N",802.947421935513
"Polka dotdeadius",9.34929157086191,34.4230583518933,"Lee N",2363.17967402267
"Alois gorus",7.58641129108904,35.2773571504652,"Sam B",1594.62545022813
"Felis lilacus",8.35721809227073,30.1704035319147,"Lee N",1654.98656235207
"Felis lilacus",7.72838261544637,32.4445374220323,"Mike R",1521.97913186912
"Felis bingus",9.54439015951703,27.7128477362666,"Mike R",1982.74747538642
"Felis bingus",8.05869335143089,27.6776609016995,"Mike R",1411.71986609095
"Babius busteria",9.49359777680563,30.6846365824422,"Lee N",2172.06351528138
